title,authors,year,venue,problem,method,limitation,url,cluster
Parameterization of Fuel-Optimal Synchronous Approach Trajectories to Tumbling Targets,"D. Sternberg et al. (D. Miller, MIT SSL)",2018,"Frontiers in Robotics and AI (IF~3, 估计), 5:33",沿翻滚目标对接轴保持同步的燃料最优逼近轨迹的快速参数化生成,以目标翻滚参数为自变量参数化燃料最优同步轨迹族，权衡计算量与燃料代价，保证持续视线与低碰撞风险,同步逼近只解决相对运动归零，不评估抓住后系统能否稳定——本项目'速度匹配同步捕获216例仍全无SAFE'直接量化其局限，互补不撞车,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2018.00033/full,非合作在轨服务任务与制导
Repeated Impact-Based Capture of a Spinning Object by a Dual-Arm Space Robot,"K. Nagaoka et al. (Kameoka, Yoshida)",2018,"Frontiers in Robotics and AI, 5:115 (IF约3, 估计)",自旋碎片直接抓取冲击过大，如何用可控的重复冲击先消旋再捕获,利用接触特性中的被动阻尼，设计基于重复冲击的消旋-捕获控制，在二维气浮台双臂机器人上实验验证,把冲击当消旋工具而非建模对象，接触模型为阻尼近似；二维气浮实验，无三维六维冲量记账，无可行域概念,https://doi.org/10.3389/frobt.2018.00115,捕获冲量与自由漂浮机械臂动力学
空间翻滚非合作目标消旋技术发展综述 (Review of detumbling technologies for active removal of uncooperative targets),"路勇 et al. (刘晓光、周宇、刘崇超, 哈尔滨工业大学)",2018,"航空学报 Acta Aeronautica et Astronautica Sinica (EI/CSCD), Vol.39(1):021302",翻滚非合作目标接触式/非接触式消旋技术的国内外发展脉络,综述：机械接触、绳系、电涡流、库仑力、激光烧蚀等消旋手段分类，梳理翻滚运动测量、参数辨识与消旋控制三大关键技术,止于方法分类；未讨论消旋前的任务级筛选、质量比/角动量可行边界或抓点评价准则——代表中文社区同样存在该空白,https://hkxb.buaa.edu.cn/CN/10.7527/S1000-6893.2017.021302,非合作在轨服务任务与制导
Optimal Capture of a Tumbling Object in Orbit Using a Space Manipulator,A. Flores-Abad et al.,2017,"Journal of Intelligent & Robotic Systems, 86(2):199-211 (IF≈3.3估计)",捕获翻滚目标瞬间的冲击对基座姿态扰动最小化,预测目标运动，求解最优未来捕获时刻与对应状态，使末端以最小基座扰动截获抓捕装置,impact-aware而非stabilizability-aware：优化的是捕获前/瞬间扰动，不是抓取后组合体的可消旋裕度；单臂单例,https://link.springer.com/article/10.1007/s10846-016-0417-1,航天器抓取规划与可行域分析
Optimal capture occasion determination and trajectory generation for space robots grasping tumbling objects,J. Luo et al. (宗立军、王明明、袁建平),2017,"Acta Astronautica, Vol.136, pp.380-386 (IF≈3.5估计)",翻滚目标何时、在何运动状态下捕获才安全可靠,提出安全-可靠-快速三判据确定最优捕获时机，再生成末端加速度受限的最优轨迹,逐例的时机判定，判据是运动学/避奇异层面；无质量比-角动量参数化扫掠，无捕获后可稳定性考量,https://www.sciencedirect.com/science/article/abs/pii/S0094576516311766,航天器抓取规划与可行域分析
Attitude takeover control for post-capture of target spacecraft using space robot,P. Huang et al.,2016,Aerospace Science and Technology（IF约5.0，估计）,捕获后组合体质量特性与反作用轮构型突变，失效目标姿态如何被服务星接管,可重构接管控制体系：捕获后惯量在线辨识+控制重分配，考虑轮组构型变化,默认捕获已成功完成，接管能力不反馈到捕获前决策；执行机构容量不构成任务可行性判据,https://doi.org/10.1016/j.ast.2016.02.006,捕获后稳定 / 消旋 / 动量管理（post-capture
Reachability and Dexterity: Analysis and Applications for Space Robotics,"O. Porges et al. (R. Lampariello, M.A. Roa, DLR)",2015,ASTRA 2015 (ESA会议，服务e.deorbit任务),空间机械臂捕获点是否运动学可达、灵巧度如何,层级体素化可达性图/能力图离线建模末端位姿空间，用于ENVISAT抓捕点与臂安装位置分析,"纯运动学地图，无动量、无冲击、无执行机构容量维度；是""可行域地图""思想的运动学先例但非动力学可行域",https://elib.dlr.de/97212/1/Astra-PUBLISHED.pdf,航天器抓取规划与可行域分析
A review of space robotics technologies for on-orbit servicing,"A. Flores-Abad et al. (O. Ma, K. Pham, S. Ulrich)",2014,"Progress in Aerospace Sciences (IF~11, 估计)",系统梳理在轨服务空间机器人技术全貌，为非合作目标捕获任务建立技术分类框架,综述：确立观测规划/终端逼近/接触抓捕/捕获后稳定四阶段框架，梳理GNC、动力学与抓捕机构技术,无任务级可行性方法学；质量比/角动量约束仅零散出现在个别控制论文中，未形成筛选准则,https://www.sciencedirect.com/science/article/abs/pii/S0376042114000347,非合作在轨服务任务与制导
Optimal Control of Space Robots for Capturing a Tumbling Object with Uncertainties,A. Flores-Abad et al.,2014,"Journal of Guidance, Control, and Dynamics（IF约2.3，估计）",翻滚目标抓哪个时刻/哪个位姿能使捕获对基座姿态扰动最小,以接触点相对速度对服务系统质心之矩为代价，优化最优捕获时刻与末端轨迹（Pontryagin/数值优化），含边界条件不确定性,代理指标是撞击时刻的相对速度矩，非捕获后可稳定裕度；输出'最优点'而非可行/不可行分类，无fail-closed，无轮组容量约束,https://doi.org/10.2514/1.G000003,捕获后稳定 / 消旋 / 动量管理（post-capture
Target selection and comparison of mission design for space debris removal by DLR's advanced study group,N. van der Pas et al.,2014,"Acta Astronautica (IF~3.5, 估计), Vol.102, pp.241-248",ADR任务应该先移除哪些目标、用何种任务架构(分离式deorbit kit/母船/轨道拖船),目标排序(质量×碰撞概率类指标)+三种任务架构的ΔV预算比较,排序纯环境侧；假设'排上就能抓'，完全不含目标翻滚状态、质量比、捕获动力学约束,https://doi.org/10.1016/j.actaastro.2014.06.020,非合作在轨服务任务与制导
Optimal Rendezvous Trajectories of a Controlled Spacecraft and a Tumbling Object,"G. Boyarko et al. (O. Yakimenko, M. Romano)",2011,"Journal of Guidance, Control, and Dynamics (IF~2.5, 估计), Vol.34(4)",追踪星与翻滚目标交会对接的最短时间/最小能量轨迹如何求解,六自由度平动+转动耦合最优控制(Pontryagin极大值原理+数值求解)，含推力饱和与碰撞规避约束,该制导主线的奠基工作止于'飞到抓点'；目标函数不含捕获冲量/捕获后角速度，与捕获动量处置完全解耦,https://arc.aiaa.org/doi/10.2514/1.47645,非合作在轨服务任务与制导
Controlling the growth of future LEO debris populations with active debris removal,J.-C. Liou et al.,2010,"Acta Astronautica (IF≈3.5, 估计)",ADR能否遏制LEO碎片增长、应按什么准则选移除目标,LEGEND环境演化模型+每年移除N个目标的情景仿真，以质量×碰撞概率乘积排序目标,选择准则纯环境学（质量/碰撞概率），完全不考虑目标能否被捕获（自旋、惯量、质量比、接口）；'移除'被当作理想化操作,https://www.sciencedirect.com/science/article/pii/S0094576509003981,非合作在轨服务任务与制导（任务级可行性、ADR任务设计中的质
Momentum distribution in a space manipulator for facilitating the post-impact control,D. Dimitrov et al. (with K. Yoshida),2004,IEEE/RSJ IROS 2004 (会议),捕获带角动量的自由漂浮卫星后组合体失稳、基座姿态漂移,反作用零空间(RNS)关节空间正交分解+捕获前给机械臂预存偏置动量，使冲击后动量落入易于管理的子空间,"刚体假设、单例策略；只回答""如何分配动量""，不回答""多大角动量/质量比下任务可行""，不做抓取点选择",https://astro.mech.tohoku.ac.jp/~yoshida/paperlist/IROS04-1958.pdf,航天器抓取规划与可行域分析
Impact analysis and post-impact motion control issues of a free-floating space robot subject to a force impulse,D.N. Nenchev et al. (K. Yoshida),1999,IEEE Transactions on Robotics and Automation,力冲量作用下自由漂浮空间机器人的基座扰动分析与冲击后运动控制,基于反作用零空间(RNS)分解冲击动力学，给出基座冲击扰动最小的臂构型条件，并设计冲击后将角动量从基座转移到臂的控制律,冲量作为外部给定输入处理，未建捕获后组合体模型；分析针对基座扰动而非消旋预算；刚体理想假设,https://doi.org/10.1109/70.768186,捕获冲量与自由漂浮机械臂动力学
On the dynamics of contact between space robots and configuration control for impact minimization,L.-B. Wee et al. (M.W. Walker),1993,IEEE Transactions on Robotics and Automation,自由漂浮空间机器人与目标接触瞬间产生冲量，如何通过臂构型选择减小冲击影响,推导接触冲量与机器人构型的解析关系，定义标量冲击度量(impact measure)，用梯度投影法在轨迹跟踪同时做构型优化以最小化冲量,冲量被压缩成标量指标（只为最小化服务），不含组合体质心迁移/Steiner项的六维冲量记账，也不评估简化的误差；无任务级判定,https://doi.org/10.1109/70.258051,捕获冲量与自由漂浮机械臂动力学
